epoch,accuracy,loss,val_accuracy,val_loss
0,0.35178521275520325,1.332210898399353,0.39193084836006165,1.2750803232192993
1,0.6329919695854187,0.997031033039093,0.6426513195037842,0.9001373648643494
2,0.7924162745475769,0.5808682441711426,0.7089337110519409,0.7625288963317871
3,0.8533074855804443,0.40307822823524475,0.6887608170509338,0.7439020872116089
4,0.8892886638641357,0.3169223368167877,0.6974063515663147,0.797076404094696
5,0.9092167019844055,0.2600739598274231,0.6829971075057983,0.8546730279922485
6,0.9291447401046753,0.21443094313144684,0.680115282535553,0.8920497298240662
7,0.9415997862815857,0.18146571516990662,0.6916426420211792,0.9693753719329834
8,0.9535012245178223,0.14702065289020538,0.6685879230499268,1.0187205076217651
9,0.9601439237594604,0.1302119642496109,0.6685879230499268,1.0516287088394165
10,0.9670633673667908,0.11582981795072556,0.6714697480201721,1.1322928667068481
11,0.9684472680091858,0.10478809475898743,0.6743515729904175,1.147712230682373
12,0.9695543646812439,0.10293015092611313,0.6772334575653076,1.2188708782196045
13,0.9706615209579468,0.0931817814707756,0.6685879230499268,1.2711482048034668
14,0.973706066608429,0.08499062806367874,0.651296854019165,1.351507544517517
15,0.9759202599525452,0.0830717384815216,0.6628242135047913,1.351412057876587
16,0.974259614944458,0.08107370138168335,0.6685879230499268,1.3224341869354248
17,0.9781345129013062,0.0725272074341774,0.6685879230499268,1.3668934106826782
18,0.976473867893219,0.06903017312288284,0.6685879230499268,1.4443007707595825
19,0.9767506122589111,0.06643815338611603,0.6628242135047913,1.4142521619796753
20,0.977027416229248,0.06834984570741653,0.6570605039596558,1.4308621883392334
21,0.9761970639228821,0.06226133555173874,0.6570605039596558,1.5321978330612183
22,0.976473867893219,0.0627632662653923,0.6657060384750366,1.5003173351287842
23,0.9773041605949402,0.06327272206544876,0.6628242135047913,1.492168664932251
24,0.9789648652076721,0.06085499748587608,0.6570605039596558,1.5164920091629028
